dataset,algorithm,params,n_clusters,ARI,time
taichi3,MiniBatchKMeans,"{'n_clusters': 1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",1,0.0,0.15232014656066895
taichi3,MiniBatchKMeans,"{'n_clusters': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",2,0.10471000063790571,0.054718971252441406
taichi3,MiniBatchKMeans,"{'n_clusters': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",3,0.11299402837736586,0.04716300964355469
taichi3,MiniBatchKMeans,"{'n_clusters': 4, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.10142355148048117,0.06638216972351074
taichi3,MiniBatchKMeans,"{'n_clusters': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.12348578124652171,0.015566110610961914
taichi3,AffinityPropagation,"{'damping': 0.5, 'preference': -25, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4974,1.704410850799174e-05,20.000313997268677
taichi3,AffinityPropagation,"{'damping': 0.5, 'preference': -200, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",1,0.0,19.179652214050293
taichi3,AffinityPropagation,"{'damping': 0.5, 'preference': -100, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5000,0.0,19.307386875152588
taichi3,AffinityPropagation,"{'damping': 0.5, 'preference': -50, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4959,4.191151958123428e-05,19.333420991897583
taichi3,AffinityPropagation,"{'damping': 0.5, 'preference': 0, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5000,0.0,2.489548921585083
taichi3,AffinityPropagation,"{'damping': 0.7, 'preference': -25, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",2631,0.014221074667746528,19.075375080108643
taichi3,AffinityPropagation,"{'damping': 0.7, 'preference': -200, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5000,0.0,19.519433975219727
taichi3,AffinityPropagation,"{'damping': 0.7, 'preference': -100, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",3230,0.017158260005968175,19.747987985610962
